Comtrade_No,Comtrade_name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
834,United Rep. of Tanzania,778000000,833000000,833000000,900000000,1026000000,1186000000,1281000000,1366000000,1369900000,1629900000,1756000000,1941000000,2312000000,2409000000,2581000000,2346000000,2809000000
764,Thailand,22722000000,25354000000,25499000000,27913000000,31679000000,32530000000,35626000000,37872000000,39408000000,35668000000,31651000000,33562400000,28840000000,30290000000,31760000000,35854000000,34980000000
768,Togo,500000000,600000000,700000000,800000000,800000000,800000000,800000000,800000000,800000000,800000000,800000000,800000000,1185000000,1160000000,1605000000,1795000000,1677000000
780,Trinidad and Tobago,690000000,688000000,743000000,708000000,744000000,766000000,768000000,686000000,883000000,901800000,957648000,869900000,791000000,827000000,654000000,802000000,837000000
788,Tunisia,4588000000,4864000000,5657000000,5721000000,6022000000,6038000000,6662000000,6691000000,6932000000,7052000000,7559000000,7511000000,8070000000,7055000000,7241000000,7504000000,9127000000
792,Turkey,38200000000,34258000000,35825000000,30125000000,32577000000,35077000000,38796000000,42787000000,47499159000,49552551000,54027283000,53972758000,62737000000,63405000000,63879000000,71337000000,71329000000
795,Turkmenistan,450000000,450000000,450000000,450000000,450000000,450000000,550000000,650000000,920600000,941000000,1025600000,1100000000,1150000000,1950000000,2370000000,2650000000,2900000000
800,Uganda,321000000,347000000,368000000,420000000,506000000,507000000,559000000,630000000,630000000,650000000,650000000,650000000,1347000000,1666000000,1780000000,2023000000,2141000000
804,Ukraine,5591000000,5828000000,5311000000,5800000000,7142000000,8900000000,10600000000,12183000000,13732000000,15000000000,14918400000,9495700000,9457000000,10515000000,9843000000,9857000000,9636000000
784,United Arab Emirates,7066000000,7069000000,6100000000,6100000000,7000000000,8000000000,9000000000,9800000000,13000000000,16000000000,21885000000,18997000000,18000000000,18000000000,15400000000,15700000000,16000000000
826,United Kingdom,12409000000,12697000000,12452000000,11854000000,11089000000,11215000000,11405000000,11216000000,11471000000,11887000000,10071000000,7623000000,7882000000,8529000000,7952000000,8203000000,8958000000
842,USA,85522000000,87777000000,89510000000,90450000000,91266000000,94329000000,99015000000,1.00903E+11,99712374000,96849651000,87610421000,64842794000,67202000000,68639000000,74934000000,77415000000,83188000000
858,Uruguay,872000000,789000000,700000000,1015000000,1000000000,1050000000,1050000000,1050000000,620000000,620000000,620000000,620000000,834000000,968000000,872000000,850000000,820000000
860,Uzbekistan,3400000000,4471000000,3521000000,4000000000,4000000000,4000000000,4800000000,5068000000,5700000000,6500000000,6600000000,6850000000,6872000000,6698000000,6800000000,6990000000,7350000000
862,Venezuela,8202000000,8500000000,8600000000,8700000000,7000000000,7700000000,9000000000,10000000000,11000000000,11000000000,11000000000,11000000000,7120000000,7760000000,8110000000,8460000000,8000000000
704,Viet Nam,9738000000,10489000000,13298000000,15374000000,21121000000,24127000000,26153000000,30808000000,32690000000,37102000000,40009000000,47900000000,55801000000,58271000000,55531000000,57516000000,60507000000
887,Yemen,1201000000,1454000000,1400000000,1400000000,1561000000,1541000000,1546000000,1573000000,1470000000,1728000000,2111000000,2118000000,1864000000,951000000,2760000000,3300000000,2800000000
894,Zambia,351000000,300000000,380000000,350000000,230000000,350000000,480000000,435000000,550000000,540000000,560000000,880000000,1127000000,1230000000,1580000000,1810000000,2200000000
716,Zimbabwe,1100000000,1000000000,1000000000,800000000,600000000,400000000,500000000,600000000,700000000,400000000,400000000,700000000,800000000,1000000000,1480000000,1190000000,1300000000
